retailer,url,brand_focus,description
InHouse Wellness,https://inhousewellness.com/,Finnmark Designs; Golden Designs; Dynamic Saunas; Maxxus; LeisureCraft; SaunaLife; Scandia; Ripavi,"Austin-based specialty wellness retailer offering infrared, traditional, hybrid, indoor and outdoor saunas. It remains the featured retailer for every model and brand it carries."
Almost Heaven Direct,https://almostheaven.com/,Almost Heaven Saunas,"The manufacturer-direct store for Almost Heaven Saunas, with indoor, barrel and outdoor traditional sauna kits heated by Harvia systems."
Altered Physical,https://alteredphysical.com/,LeisureCraft,"An independent home-wellness retailer used for model-specific LeisureCraft price checks when an exact catalog match is available."
Ampsrus,https://ampsrus.com/,Golden Designs; Dynamic Saunas; Maxxus,"A multi-brand sauna retailer included as an additional catalog source for exact model and price comparisons."
Golden Designs Direct,https://goldendesigninc.com/,Golden Designs; Dynamic Saunas; Maxxus,"The manufacturer-direct catalog for Golden Designs, Dynamic and Maxxus sauna families, used for official specifications and price comparison."
Medical Saunas Direct,https://medicalsaunas.com/,Medical Saunas,"The brand-direct Medical Saunas catalog, covering infrared, traditional and commercial models not currently carried by InHouse Wellness."
Paradise Bay Leisure Products,https://www.goparadisebay.com/,Dynamic Saunas,"An independent leisure-products retailer used as a model-specific comparison source where an exact sauna SKU is available."
SaunaFriend,https://saunafriend.com/,Clearlight,"A specialist retailer used for Clearlight Premier and Sanctuary infrared sauna models, a brand outside the InHouse Wellness catalog."
Solaci Home,https://solacihome.com/,Multi-brand,"A multi-brand home-wellness retailer used for exact sauna model matches and supplemental price checks."
Steam Sauna Supply,https://www.steamsaunasupply.com/,LeisureCraft,"A sauna equipment retailer used for exact-model pricing on selected traditional outdoor saunas."
Redwood Outdoors,https://www.redwoodoutdoors.com/,Redwood Outdoors,"The brand-direct retailer for Redwood Outdoors indoor and outdoor saunas, including compact cabins, barrels and larger backyard models."
Heavenly Heat Saunas,https://heavenlyheatsaunas.com/,Heavenly Heat Saunas,"The brand-direct retailer for Heavenly Heat low-EMF infrared, red-light infrared and combination sauna models."
Sun Home Saunas,https://sunhomesaunas.com/,Sun Home Saunas,"The brand-direct retailer for Sun Home indoor and outdoor sauna lines, including Solstice, Equinox, Luminar, Eclipse, Nova, Pod and Solaris models."
Salus Saunas,https://www.salussaunas.com/,Salus Saunas,"The brand-direct retailer for a broad range of Salus infrared, traditional and hybrid indoor and outdoor saunas."
